NomeBot;IDOrdem;Data;Odd;Stake;PL
OVER 0.5 HT [1.71- 2];303172835624;2023-04-12;1.76;2;-2
OVER 0.5 HT [1.71- 2];303396945153;2023-04-14;1.71;2;1.42
OVER 0.5 HT [1.71- 2];303419876027;2023-04-14;1.75;2;1.5
OVER 0.5 HT [1.71- 2];303449304420;2023-04-15;1.83;2;1.66
OVER 0.5 HT [1.71- 2];303451798717;2023-04-15;1.73;2;1.46
OVER 0.5 HT [1.71- 2];303504944797;2023-04-15;1.74;2;1.48
OVER 0.5 HT [1.71- 2];303508943518;2023-04-15;1.72;2;1.44
OVER 0.5 HT [1.71- 2];303530015243;2023-04-15;1.74;2;1.48
OVER 0.5 HT [1.71- 2];303537308629;2023-04-15;1.73;2;1.46
OVER 0.5 HT [1.71- 2];303720567962;2023-04-16;1.74;2;-2
OVER 0.5 HT [1.71- 2];303751321749;2023-04-16;1.7;2;-2
OVER 0.5 HT [1.71- 2];303752667544;2023-04-16;1.78;2;-2
OVER 0.5 HT [1.71- 2];303839812131;2023-04-17;1.76;2;1.52
OVER 0.5 HT [1.71- 2];303866254455;2023-04-17;1.74;2;-2
OVER 0.5 HT [1.71- 2];303877497931;2023-04-17;1.73;2;1.46
OVER 0.5 HT [1.71- 2];303967850067;2023-04-18;1.72;2;-2
OVER 0.5 HT [1.71- 2];304102789604;2023-04-19;1.72;2;1.44
OVER 0.5 HT [1.71- 2];304111327956;2023-04-20;1.84;2;1.68
OVER 0.5 HT [1.71- 2];304437248584;2023-04-22;1.72;2;1.44
OVER 0.5 HT [1.71- 2];304437561068;2023-04-22;1.73;2;-2
OVER 0.5 HT [1.71- 2];304441621229;2023-04-22;1.76;2;-2
OVER 0.5 HT [1.71- 2];304511527574;2023-04-22;1.78;2;1.56
OVER 0.5 HT [1.71- 2];304527700797;2023-04-22;1.73;2;1.46
OVER 0.5 HT [1.71- 2];304538571248;2023-04-23;1.72;2;-2
OVER 0.5 HT [1.71- 2];304646361619;2023-04-23;1.73;2;1.46
OVER 0.5 HT [1.71- 2];304683976655;2023-04-23;1.84;2;-2
OVER 0.5 HT [1.71- 2];304686577685;2023-04-23;1.71;2;1.42
OVER 0.5 HT [1.71- 2];304874009481;2023-04-25;1.71;2;1.42
OVER 0.5 HT [1.71- 2];304874645415;2023-04-25;1.72;2;1.44
OVER 0.5 HT [1.71- 2];304874732326;2023-04-25;1.72;2;1.44
OVER 0.5 HT [1.71- 2];304977934018;2023-04-26;1.74;2;1.48
OVER 0.5 HT [1.71- 2];304992314493;2023-04-26;1.71;2;-2
OVER 0.5 HT [1.71- 2];305083276725;2023-04-27;1.71;2;1.42
OVER 0.5 HT [1.71- 2];305094981126;2023-04-27;1.75;2;-2
OVER 0.5 HT [1.71- 2];305106815349;2023-04-28;1.72;2;1.44
OVER 0.5 HT [1.71- 2];305185890077;2023-04-28;1.78;2;1.56
OVER 0.5 HT [1.71- 2];305189762438;2023-04-28;1.73;2;-2
OVER 0.5 HT [1.71- 2];305286462440;2023-04-29;1.75;2;-2
OVER 0.5 HT [1.71- 2];305315167523;2023-04-29;1.74;2;-2
OVER 0.5 HT [1.71- 2];305317177758;2023-04-29;1.74;2;1.48
OVER 0.5 HT [1.71- 2];305317264949;2023-04-29;1.79;2;1.58
OVER 0.5 HT [1.71- 2];305388791642;2023-04-29;1.79;2;1.58
OVER 0.5 HT [1.71- 2];305391831997;2023-04-29;1.72;2;1.44
OVER 0.5 HT [1.71- 2];305463285958;2023-04-30;1.73;2;1.46
OVER 0.5 HT [1.71- 2];305491878990;2023-04-30;1.73;2;1.46
OVER 0.5 HT [1.71- 2];305525809111;2023-04-30;1.73;2;1.46
OVER 0.5 HT [1.71- 2];305549430583;2023-04-30;1.79;2;-2
OVER 0.5 HT [1.71- 2];305561608160;2023-04-30;1.72;2;1.44
OVER 0.5 HT [1.71- 2];305570509594;2023-04-30;1.72;2;1.44
OVER 0.5 HT [1.71- 2];305576788941;2023-05-01;1.72;2;-2
